account,emotion,count
CuriousBreadWilson,negative,4
CuriousBreadWilson,neutral,2
CuriousCBanana2017,negative,5
CuriousCBanana2017,neutral,1
CuriousCHouse,negative,11
CuriousCHouse,positive,1
CuriousCPlate,negative,7
CuriousCalderaCar,negative,11
CuriousCalderaCar,neutral,1
CuriousCandyBetty,negative,6
CuriousCandyBetty,positive,1
CuriousCandyCohen,negative,18
CuriousCandyCohen,positive,2
CuriousCandyFrancis_Rose,negative,8
CuriousCandyFrancis_Rose,neutral,1
CuriousCandyHackney,negative,13
CuriousCandyHackney,neutral,1
CuriousCandyMary_Perla,negative,16
CuriousCandyMary_Perla,neutral,1
CuriousCarCarrie_Sanders,negative,11
CuriousCarLevi_Taylor,negative,12
CuriousCarLevi_Taylor,neutral,2
CuriousCarLevi_Taylor,positive,1
CuriousCarRotondo,negative,13
CuriousCarRotondo,positive,1
CuriousCaraHouse,negative,9
CuriousCaraHouse,positive,2
CuriousCeciliaIcecream,negative,6
CuriousChaplinCar,negative,9
CuriousChaplinCar,neutral,2
CuriousChaplinCar,positive,1
CuriousCoffeyCandy69,negative,4
CuriousCouchCarolina,negative,8
CuriousCouchCarolina,neutral,1
CuriousCouchCordero,negative,7
CuriousCouchLopze,negative,1
CuriousCouchLori,negative,2
CuriousCrumHouse13,negative,5
CuriousCrumHouse13,neutral,1
CuriousCrumHouse13,positive,1
CuriousCrystalHouse,negative,8
CuriousDHouse,negative,7
CuriousDHouse29,negative,9
CuriousDHouse29,neutral,2
CuriousDHouse29,positive,2
CuriousDIcecream,negative,2
CuriousDIcecream,positive,1
CuriousDaggettPlate21,negative,13
CuriousDaggettPlate21,neutral,4
CuriousDavidHouse,negative,8
CuriousDavidHouse,neutral,1
CuriousDavidHouse,positive,1
CuriousDelgadoCar,negative,6
CuriousDonaldsonBanana1954,negative,4
CuriousEBread,negative,9
CuriousEBread,neutral,1
CuriousECouch,negative,10
CuriousEIcecream,negative,1
CuriousEIcecream,neutral,1
CuriousEIcecream,positive,1
CuriousELight,negative,6
CuriousElizaPlate,negative,8
CuriousElizaPlate,neutral,1
CuriousElizaPlate,positive,1
CuriousEllenCar,negative,5
CuriousEllenCar,positive,1
CuriousFBread91,negative,4
CuriousFBread91,positive,1
CuriousFCandy1979,negative,4
CuriousFCandy1979,neutral,1
CuriousFLight2010,negative,8
CuriousGCandy,negative,14
CuriousGCandy,positive,2
CuriousGHouse,negative,1
CuriousGPlate,negative,3
CuriousHBowl1955,negative,3
CuriousHBowl1955,positive,1
CuriousHCandy,negative,8
CuriousHIcecream,negative,5
CuriousHarmonPlate2005,negative,8
CuriousHerzogCar,negative,3
CuriousHouseAnne,negative,14
CuriousHouseAnne,neutral,1
CuriousHouseCharlotte_Labbe,negative,10
CuriousHouseCharlotte_Labbe,neutral,1
CuriousHouseCharlotte_Labbe,positive,1
CuriousHouseJonathan,negative,5
CuriousHouseJonathan,neutral,2
CuriousHowardLight,negative,5
CuriousIBread,negative,17
CuriousIBread,neutral,1
CuriousIcecreamDouglas,negative,7
CuriousIcecreamDouglas,positive,1
CuriousIcecreamFrank,negative,8
CuriousIcecreamFrank,positive,1
CuriousIcecreamGillen,negative,8
CuriousIcecreamGillen,neutral,2
CuriousIcecreamGillen,positive,1
CuriousIngramBowl,negative,13
CuriousIngramBowl,neutral,2
CuriousIngramBowl,positive,2
CuriousJBread,negative,25
CuriousJBread,neutral,1
CuriousJBread,positive,2
CuriousJimesonIcecream,negative,4
CuriousJohnBanana,negative,5
CuriousJosephPlate,negative,4
CuriousKBowl,negative,6
CuriousKBowl,neutral,1
CuriousKBread,negative,22
CuriousKBread,neutral,3
CuriousKBread,positive,1
CuriousKHouse,negative,14
CuriousKHouse,positive,1
CuriousKIcecream90,negative,5
CuriousKatherynBanana,negative,9
CuriousKatherynBanana,neutral,2
CuriousKatherynBanana,positive,1
CuriousKirkPlate,negative,8
CuriousKirkPlate,neutral,1
CuriousKirkPlate,positive,1
CuriousLBanana,negative,6
CuriousLBread40,negative,2
CuriousLightBacklund,negative,9
CuriousLightBacklund,positive,1
CuriousLightDiana,negative,5
CuriousLightJanice_Walling,negative,12
CuriousLightJanice_Walling,neutral,2
CuriousLightJanice_Walling,positive,2
CuriousLightRosa_Shaw,negative,14
CuriousLightRosa_Shaw,neutral,1
CuriousLightTina_Marlow,negative,14
CuriousLightTina_Marlow,positive,3
CuriousMBanana,negative,7
CuriousMBread,negative,8
CuriousMHouse,negative,12
CuriousMHouse,neutral,1
CuriousMHouse,positive,2
CuriousMIcecream,negative,13
CuriousMIcecream,neutral,3
CuriousMIcecream,positive,1
CuriousMartinezBread,negative,13
CuriousMildredBowl,negative,9
CuriousMildredBowl,neutral,1
CuriousNicholsPlate45,negative,1
CuriousOIcecream17,negative,9
CuriousOIcecream17,neutral,1
CuriousPLight2006,negative,6
CuriousPayneBread,negative,4
CuriousPayneBread,positive,1
CuriousPenelopeCandy,negative,6
CuriousPenelopeCandy,neutral,1
CuriousPenelopeCandy,positive,1
CuriousPlateAngela,negative,9
CuriousPlateAngela,positive,1
CuriousPlateBobbie_Mallon,negative,7
CuriousPlateJesse,negative,2
CuriousPlateJesse,neutral,1
CuriousPlateJohn_Paine,negative,11
CuriousPlateJohn_Paine,neutral,2
CuriousPlateMccarty,negative,4
CuriousPlateZachary_Chevez,negative,11
CuriousRBowl,negative,4
CuriousRBowl,positive,2
CuriousRCar,negative,10
CuriousRCouch,negative,17
CuriousRCouch,neutral,2
CuriousRCouch,positive,1
CuriousReedBanana,negative,13
CuriousReedBanana,positive,1
CuriousReyesCouch36,negative,8
CuriousReyesCouch36,positive,2
CuriousSBread,negative,14
CuriousSBread,neutral,1
CuriousSBread,positive,1
CuriousSBread64,negative,11
CuriousSBread64,positive,1
CuriousSCar,negative,13
CuriousSLight,negative,3
CuriousSchramBowl,negative,12
CuriousSchramBowl,neutral,1
CuriousSchramBowl,positive,2
CuriousShannonPlate,negative,6
CuriousSimsHouse2017,negative,11
CuriousSimsHouse2017,neutral,1
CuriousSmartBread46,negative,7
CuriousSmartBread46,neutral,2
CuriousSmartBread46,positive,2
CuriousSmithPlate,negative,8
CuriousSmithPlate,positive,1
CuriousSollarsBowl,negative,5
CuriousSollarsBowl,positive,1
CuriousStancliffLight,negative,3
CuriousTBread,negative,4
CuriousTBread,neutral,2
CuriousTBread,positive,1
CuriousThereseBanana,negative,1
CuriousThomasBowl,negative,10
CuriousThomasLight,negative,10
CuriousThomasLight,neutral,1
CuriousTwittHouse,negative,8
CuriousVPlate68,negative,5
CuriousVictorLight2004,negative,10
CuriousVictorLight2004,positive,1
CuriousWBanana73,negative,9
CuriousWBanana73,neutral,1
CuriousWBanana73,positive,2
CuriousWBowl1999,negative,8
CuriousWBowl1999,neutral,1
CuriousWBowl1999,positive,2
CuriousWBread25,negative,5
CuriousWBread25,neutral,1
CuriousWBread25,positive,2
CuriousWadePlate,negative,1
CuriousWhitedIcecream1959,negative,10
CuriousWhitedIcecream1959,neutral,2
CuriousWhitedIcecream1959,positive,3
Curtis_BuchananHorse65,negative,13
Cynthia15H,negative,3
Cynthia1951H,negative,6
Cynthia1951H,neutral,1
D1950Williams,negative,9
D1950Williams,neutral,1
D1954Nelson,negative,9
D1972Knox,negative,6
D1975Mccord,negative,8
D1975Mccord,positive,1
D1979Carrothers,negative,2
D1979Carrothers,positive,2
D2014Duran,negative,9
D2016Lamar,negative,2
D2016Lamar,positive,1
D25Dulac,negative,2
D69Steele,negative,4
D69Steele,positive,1
D88Harper,negative,6
D88Harper,neutral,1
D88Harper,positive,2
D99Johnson,negative,14
D99Johnson,neutral,2
D99Johnson,positive,1
DAttentativeAnderson,negative,9
DAttentativeAnderson,neutral,2
DAttentativeAnderson,positive,1
DBusyMalsam,negative,1
DBusyMalsam,neutral,1
DCuriousClarke,negative,7
DFamousChaplin,negative,9
DFamousChaplin,neutral,1
DFamousL,negative,9
DFamousL,positive,2
DFamousLamke,negative,17
DFamousLamke,neutral,1
DFamousLamke,positive,1
DFastWeaver,negative,9
DFastWeaver,positive,1
DFuriousD,negative,7
DFuriousD,neutral,1
DFuriousGarcia,positive,1
DFuriousS,negative,11
DFuriousS,positive,2
DFuriousSandahl,negative,8
DLazyWoods,negative,1
DLazyWoods,positive,1
DOT-StHimark,negative,37
DOT-StHimark,positive,18
DObnoxiousAddison,negative,6
DWileyPhinney,negative,7
Dale_Akins2,negative,1
Dale_Akins2,positive,2
Dale_Holstein79,negative,8
Dalia_ByrdHorse63,negative,3
Damian1974S,negative,9
Damian1974S,neutral,1
Damian1974S,positive,1
Daniel1971,negative,9
Daniel1971,neutral,1
DanielFish19,negative,13
DanielObnoxiousBest,negative,7
DanielObnoxiousBest,neutral,1
DanielObnoxiousBest,positive,1
Danielle_Martinez3,negative,11
Danny_SumnersDog3,negative,10
Danny_SumnersDog3,positive,1
Dantzler1986,negative,19
Darcel23,negative,11
Darcy_RenfrewOctopus73,negative,17
Darcy_RenfrewOctopus73,neutral,1
DareYouToPetTheCat,negative,5
DareYouToPetTheCat,neutral,1
DarkArchieIcecream,negative,12
DarkBananaJoann,negative,4
DarkBowlBarbara,negative,8
DarkBowlJohn,negative,3
DarkBowlRinehart,negative,13
DarkBowlRinehart,positive,1
DarkBowlSherman_Marlow,negative,1
DarkBreadCheri_Todd,negative,7
DarkBreadCheri_Todd,positive,1
DarkBreadDenise_Zingler,negative,8
DarkBreadEunice_Smith,negative,10
DarkBreadEunice_Smith,positive,2
DarkBrittanyCouch,negative,9
DarkBrittanyCouch,positive,1
DarkCCandy,negative,9
DarkCCandy10,negative,8
DarkCCandy10,neutral,1
DarkCCandy10,positive,1
DarkCCouch41,negative,3
DarkCCouch41,positive,1
DarkCHouse41,negative,9
DarkCHouse41,positive,1
DarkCHouse44,negative,5
DarkCHouse44,neutral,1
DarkCIcecream,negative,4
DarkCLight,negative,5
DarkCLight,positive,1
DarkCPlate1980,negative,7
DarkCandyChristopher_Iverson,negative,3
DarkCandyJoan,negative,3
DarkCandyJoan,neutral,1
DarkCandyMary_Moorehouse,negative,10
DarkCandyMary_Moorehouse,neutral,1
DarkCandyWm_Wood,negative,6
DarkCandyWm_Wood,neutral,1
DarkCandyWm_Wood,positive,1
DarkCarDarrell,negative,9
DarkCarDarrell,positive,1
DarkCarIrving,negative,5
DarkCarRay,negative,2
DarkCarRick_Sato,negative,4
DarkCarRick_Sato,positive,1
DarkCarolCouch,negative,1
DarkCarolCouch,neutral,1
DarkChamplinIcecream,negative,1
DarkChamplinIcecream,positive,1
DarkCocoCouch1950,negative,4
DarkCollettBanana61,negative,3
DarkCollettBanana61,positive,1
DarkCouchGrimes,negative,10
DarkCouchGrimes,neutral,1
DarkCouchVictoria,negative,3
DarkCouchVictoria,neutral,2
DarkCouchWebb,negative,13
DarkCouchWebb,neutral,1
DarkDBread1973,negative,5
DarkDBread1973,positive,1
DarkDallasIcecream,negative,10
DarkDallasIcecream,positive,2
DarkDavidLight,negative,3
DarkDiazBowl,negative,5
DarkEPlate,negative,6
DarkEPlate,neutral,2
DarkEPlate,positive,1
DarkFreebornIcecream,negative,19
DarkFreebornIcecream,neutral,1
DarkFreebornIcecream,positive,1
DarkGBanana,negative,4
DarkGBanana,positive,2
DarkGCar,negative,18
DarkGCar,neutral,2
DarkGCar,positive,1
DarkGraceCar,negative,5
DarkGrossiCandy,negative,13
DarkGrossiCandy,neutral,1
DarkGrossiCandy,positive,2
DarkHBanana,negative,2
DarkHBanana1960,negative,8
DarkHBanana1960,neutral,1
DarkHBanana1960,positive,1
DarkHCandy2018,negative,4
DarkHCar,negative,8
DarkHCar,positive,2
DarkHIcecream,negative,14
DarkHeatherLight,negative,13
DarkHoltCandy,negative,9
DarkHoltCandy,neutral,1
DarkHouseBrian_Ingram,negative,10
DarkHouseCavitt,negative,5
DarkHouseWhite,negative,9
DarkHouseWhite,neutral,1
DarkHowardBowl,negative,7
DarkHrabalHouse,negative,9
DarkHrabalHouse,neutral,1
DarkHudspethCar1967,negative,7
DarkICouch,negative,3
DarkICouch,positive,2
DarkIcecreamEssie_Clyatt,negative,15
DarkIcecreamEssie_Clyatt,neutral,2
DarkIcecreamFrancois,negative,2
DarkIcecreamFrancois,positive,1
DarkIcecreamMicah_Knackstedt,negative,9
DarkIcecreamMicah_Knackstedt,neutral,1
DarkIcecreamRonald,negative,10
DarkIcecreamRonald,positive,2
DarkIcecreamYolanda,negative,1
DarkJasonBread,negative,21
DarkJelksIcecream,negative,7
DarkJohnIcecream,negative,3
DarkJohnIcecream,neutral,1
DarkJohnsonBowl,negative,9
DarkJohnsonCar,negative,13
DarkJohnsonCar,neutral,1
DarkKBread18,negative,20
DarkKBread18,positive,1
DarkKCouch1991,negative,9
DarkKCouch1991,positive,1
DarkKimPlate,negative,3
DarkKimPlate,positive,1
DarkKnutsenCouch1982,negative,5
DarkKnutsenCouch1982,positive,1
DarkKraegerBowl,negative,4
DarkKraegerBowl,positive,1
DarkLBanana,negative,21
DarkLBanana,neutral,6
DarkLBanana,positive,1
DarkLafolletteCouch24,negative,3
DarkLightCharles_Fornili,negative,11
DarkLightCharles_Fornili,neutral,1
DarkLightCharles_Fornili,positive,1
DarkLightFletcher_Stephens,negative,13
DarkLightFletcher_Stephens,neutral,2
DarkLightFletcher_Stephens,positive,1
DarkLivingstonCandy91,negative,10
DarkLivingstonCandy91,neutral,1
DarkLivingstonCandy91,positive,1
DarkMBowl,negative,12
DarkMBowl,positive,1
DarkMBread,negative,6
DarkMCandy,negative,3
DarkMCandy,neutral,1
DarkMIcecream2014,negative,3
DarkMPlate,negative,3
DarkMPlate,neutral,1
DarkMPlate,positive,1
DarkMadinaCouch,negative,6
DarkMadinaCouch,neutral,2
DarkMelanieCandy,negative,2
DarkMontanoPlate,negative,5
DarkMontanoPlate,neutral,2
DarkMoralesLight54,negative,2
DarkNBanana,negative,3
DarkNBanana,neutral,1
DarkNBread,negative,7
DarkNBread,neutral,1
DarkNCar1981,negative,6
DarkNLight,negative,5
DarkNLight,neutral,1
DarkNLight,positive,1
DarkNolderCouch,negative,12
DarkNolderCouch,positive,2
DarkPBanana,negative,6
DarkPBanana,positive,1
DarkPBowl,negative,6
DarkPBowl,neutral,2
DarkPBowl,positive,1
DarkPCandy,negative,9
DarkPCandy,neutral,2
DarkPCandy,positive,2
DarkPhillipBowl,negative,9
DarkPhillipBowl,neutral,1
DarkPlateCynthia_Niemczyk,negative,7
DarkPlateFrederick_Tucker,negative,8
DarkPlateFrederick_Tucker,positive,1
DarkPlateNorris,negative,2
DarkPlateNorris,positive,1
DarkPrattisPlate,negative,12
DarkPrattisPlate,neutral,3
DarkPrattisPlate,positive,1
DarkQCouch81,negative,9
DarkQCouch81,neutral,1
DarkQCouch81,positive,2
DarkRBanana,negative,7
DarkRCouch,negative,9
DarkRobertBowl,negative,9
DarkSBowl,negative,11
DarkSBowl,neutral,1
DarkSBowl,positive,1
DarkSCandy,negative,6
DarkSCandy,positive,1
DarkSIcecream,negative,21
DarkSIcecream,positive,3
DarkSaraCouch,negative,7
DarkSpenglerBowl5,negative,16
DarkStellaCar,negative,10
DarkStephenBread,negative,4
DarkStevensBowl,negative,4
DarkSusanBread,negative,11
DarkSusanBread,positive,1
DarkTBread,negative,5
DarkTBread82,negative,11
DarkTBread82,positive,1
DarkTPlate,negative,2
DarkThomasBowl,negative,5
DarkThomasBowl,positive,1
DarkThomasHouse,negative,13
DarkTolbertLight,negative,8
DarkTolbertLight,neutral,1
DarkTolbertLight,positive,3
DarkVCar1980,negative,4
DarkVCar1980,positive,1
DarkWCandy2003,negative,6
DarkWCouch,negative,7
DarkWCouch,neutral,1
DarkWHouse,negative,8
DarkWHouse,positive,2
DarkWLight,negative,10
DarkWLight,neutral,1
DarkWPlate71,negative,7
DarkWessonIcecream7,negative,9
DarkWessonIcecream7,neutral,1
DarkWilkeHouse,negative,9
DarkWilkeHouse,neutral,1
DarkWilkeHouse,positive,2
DarkWilliamsCouch,negative,1
DarkZadowPlate,negative,13
DarkZadowPlate,neutral,1
DarleneCleverP,negative,7
DarleneCleverP,neutral,1
Darrell69B,negative,13
Darrell69B,positive,4
Daryl_Orosz86,negative,9
David1962Jackson,negative,6
David1979,negative,2
David1981,negative,12
David1981,positive,1
David2004,negative,1
David2004,neutral,2
David2018Alfaro,negative,2
David34Ing,negative,5
David34Ing,positive,1
David54A,negative,13
David54A,positive,2
David68F,negative,6
David68F,positive,2
DavidBird2004,negative,10
DavidBird2004,positive,2
DavidCandidPeck,negative,16
DavidCandidPeck,neutral,1
DavidFastM,negative,9
DavidFastM,neutral,2
DavidFastM,positive,2
DavidFish1954,negative,7
DavidFish1954,positive,1
DavidWileyL,negative,3
DavidWileyR,negative,11
DavidWileyR,positive,1
David_MannWhale1955,negative,5
David_Mcgrath1966,negative,3
David_Mcgrath1966,neutral,1
David_Mcgrath1966,positive,2
David_Robinson94,negative,3
Davis2014,negative,3
DavisCat1976,negative,3
DavisDog45,negative,3
DavisFish8,negative,11
DavisFish8,positive,1
DawnDawson,negative,1
Dawn_Lloyd24,negative,4
Dawn_Lloyd24,neutral,1
Deanna85,negative,2
Debbie1986,negative,2
Debora81N,negative,2
Deborah1955,negative,3
DeborahCat2,negative,2
Della_FarnsworthDog1964,negative,14
Della_FarnsworthDog1964,positive,2
Denise2018S,negative,6
Denise37Brown,negative,5
Denise37Brown,neutral,1
Denise37Brown,positive,1
Denise_DeenFish28,negative,9
Denise_DeenFish28,positive,1
DennisOctopus1978,negative,7
DennisSmartW,negative,15
DennisSmartW,neutral,2
DennisSmartW,positive,1
Denoon54,negative,5
DeptTransport,negative,3
DerekLazyVerstraete,negative,9
DerekLazyVerstraete,positive,1
DerekNolan,negative,158
DerekNolan,neutral,8
DerekNolan,positive,9
DianaBear1979,negative,2
DianeBird77,negative,16
Diane_LoweBird38,negative,9
Diane_LoweBird38,positive,1
Diane_SpencerBird79,negative,4
Dianne29Dalbec,negative,6
Dianne29Dalbec,neutral,1
Dickey2005,negative,4
Dickey2005,neutral,1
DickinsonMouse32,negative,9
DickinsonMouse32,neutral,1
DicksonWhale28,negative,2
DionHorse2011,negative,1
DisqueLion84,negative,7
DisqueLion84,positive,1
DixonWhale31,negative,5
DixonWhale31,neutral,1
DixonWhale31,positive,2
DoNoWant,negative,1
DoNotWant,negative,2
DoggieDoo,negative,1
Dollie13,negative,5
Dollie13,neutral,1
Dollie13,positive,1
Dolores_HardinWhale92,negative,4
Domitila1,negative,6
Donald1959Llanes,negative,10
Donald1975Stark,negative,12
Donald1986C,negative,7
Donald1986C,positive,1
DonaldCleverR,negative,6
DonaldCleverR,neutral,1
DonaldSmartSanford,negative,8
DonaldSmartSanford,positive,1
Donald_Larrabee82,negative,3
Donna12Long,negative,5
Donna12Long,positive,2
DonnaBear1979,negative,10
DonnaBear1979,positive,1
DonnaLion52,negative,1
Donovan67,negative,2
Dora2017,negative,6
Dora2017,neutral,2
Doris1976,negative,19
Doris1976,neutral,1
Doris48D,negative,5
Doris48D,neutral,1
DorisCuriousHoggard,negative,9
Doris_ChavezBear2000,negative,12
Doris_ChavezBear2000,neutral,2
Doris_ChavezBear2000,positive,1
Doris_Grill1980,negative,3
Dorothy2014P,negative,6
Dorothy2014P,positive,1
Dorothy85M,negative,7
Dorothy85M,positive,3
DorothyCat51,negative,18
DorothyCat51,neutral,1
DorothyFleetH,negative,2
DorothyGuapoMack,negative,2
Dorothy_Shaw47,negative,2
Douglas1992B,negative,4
DouglasCleverWarthen,negative,9
DouglasCleverWarthen,positive,1
Douglas_Dash44,negative,4
Douglas_Dash44,positive,2
Douglas_Ransom29,negative,7
Douglas_Ransom29,neutral,1
Douglas_Ransom29,positive,1
Duane_Maisel44,negative,8
Dubose1963,negative,8
Dylan1987Mcwhorter,negative,4
Dylan1987Mcwhorter,positive,1
Dylan_JoyWhale6,negative,12
Dylan_JoyWhale6,positive,1
E10Laforest,negative,3
E18Rambert,negative,8
E1968Buckley,negative,3
E1989Twitt,negative,5
E1989Twitt,neutral,1
E1989Twitt,positive,1
EAttentativeE,negative,13
EAttentativeM,negative,7
EAttentativeM,neutral,1
EAttentativeM,positive,1
EBusyCeniceros,negative,7
EBusyCeniceros,neutral,2
EBusyCeniceros,positive,2
EBusyRayner,negative,7
EBusyTaylor,negative,11
ECleverEstrada,negative,12
ECleverEstrada,neutral,1
ECleverEstrada,positive,2
ECleverF,negative,8
ECleverH,negative,3
ECleverH,positive,1
ECleverW,negative,4
EObnoxiousB,negative,6
EObnoxiousB,positive,2
EObnoxiousLewis,negative,1
ESmartLuescher,negative,15
ESmartLuescher,neutral,3
EWileyConklin,negative,4
EWileyConklin,positive,2
EaglepeakHosp,negative,1
Earl_Camacho80,negative,6
Earl_Camacho80,positive,1
Earlene30S,negative,12
Earlene30S,neutral,1
Earlene30S,positive,1
EarthQuakeSeers,negative,1
Earthquake Prediction Center,negative,1
EatsCornFlakes,negative,1
EatsCornFlakes,neutral,1
Eddie91Phillips,negative,7
Eddie91Phillips,positive,1
Edith76P,negative,18
Edith76P,neutral,3
Edith76P,positive,1
Edith_MaloneHorse6,negative,4
EdnaBear1967,negative,4
Eduardo_MillerFish1962,negative,6
Edward1985Pepe,negative,5
Edward1989,negative,7
Edward1989,neutral,2
Edward1989,positive,2
EdwardBusyH,negative,11
EdwardBusyH,positive,1
Edward_Alston1985,negative,13
Edward_Alston1985,positive,1
Edward_BlandonWhale53,negative,6
Edward_HughesCat2017,negative,6
Edward_HughesCat2017,neutral,1
Edward_HughesCat2017,positive,1
Edwardo87,negative,2
Edwardo87,positive,1
Elaine81,negative,16
Elaine81,neutral,2
Elaine81,positive,4
ElaineLazyS,negative,4
ElaineLazyS,neutral,2
ElaineLazyS,positive,1
ElaineWileyParsons,negative,5
Elaine_Thomas42,negative,6
Eleanor91Sliter,negative,1
Eleanor_Hamilton65,negative,5
ElenaBusyD,negative,7
ElenaBusyD,neutral,1
Elias_MercierLion1954,negative,6
Elizabeth75,negative,8
Elizabeth75,positive,3
Elizabeth_Csaszar58,negative,14
Elizabeth_HartzellMouse49,negative,3
Elizabeth_HartzellMouse49,neutral,1
Elizabeth_HartzellMouse49,positive,1
Elizabeth_Hatton1970,negative,15
Elizabeth_Hatton1970,neutral,1
Elizabeth_Hatton1970,positive,2
Elizabeth_ShawDog54,negative,4
Elizabeth_ShawDog54,positive,2
Elizabeth_Williams73,negative,5
EllaChang,negative,18
EllaChang,neutral,1
EllaChang,positive,1
EllaLion38,negative,9
EllaLion38,neutral,2
Ella_BelinDog1966,negative,5
Ella_BelinDog1966,positive,1
Ellen1973M,negative,1
ElliottDog23,negative,1
ElsaHorse88,negative,6
Elsie_James2018,negative,3
Elsie_VillanovaHorse35,negative,6
ElwinJR,negative,1
ElwinJr,negative,16
ElwinJr,neutral,1
ElwinJr,positive,1
EmergeAndC,negative,1
Emergency Manager,negative,3
EmergencyManager,negative,2
EmielRegis,negative,2
EmielRegis,neutral,1
Emil_Bearden32,negative,9
Emil_Bearden32,neutral,1
EmilyBear1971,negative,2
EmmaHorse96,negative,3
Eric52Bledsoe,negative,8
Eric52Bledsoe,positive,2
EricFastH,negative,8
EricFastH,positive,2
EricObnoxiousC,negative,14
EricObnoxiousC,positive,1
Eric_Lubrano1981,negative,4
Eric_Lubrano1981,neutral,1
Erica_Wesner44,negative,7
Erin1996,negative,3
ErinDog25,negative,7
ErinDog25,positive,3
ErnestDog1983,negative,2
Ernest_Nordenstrom29,negative,10
Ernestine_Ewell1955,negative,6
Ernestine_Ewell1955,positive,1
ErrolFish2002,negative,8
ErrolFish2002,positive,1
ErwinBear41,negative,1
EscalanteBird1965,negative,3
EssieFastThomas,negative,17
EssieFastThomas,positive,1
Estella23,negative,3
Estella23,neutral,1
Estella23,positive,1
Esther1953Clark,negative,7
Esther1953Clark,neutral,1
Esther1953Clark,positive,1
EstherCat80,negative,7
EstherCat80,neutral,1
Etta_SmithBird2010,negative,2
Eugene2008Talbott,negative,14
Eugene2008Talbott,neutral,1
Eugene2008Talbott,positive,2
Eugenia1955,negative,8
Eugenio28,negative,3
Eunice_Dutton1973,negative,10
Eunice_Dutton1973,positive,1
Eva1983S,negative,12
Eva1983S,positive,2
EvelynHorse29,negative,14
EvelynHorse29,positive,2
Evelyn_DavisFish75,negative,17
Evelyn_DavisFish75,positive,1
Eversole1978,negative,4
Eversole1978,neutral,1
Eversole1978,positive,1
F1969Neal,negative,8
F41Booth,negative,8
F41Booth,neutral,1
F41Booth,positive,1
F71Halfhill,negative,18
F71Halfhill,neutral,1
F71Halfhill,positive,2
FAttentativeR,negative,1
FBusyChin,negative,4
FFuriousF,negative,9
FFuriousF,positive,3
FamousACandy,negative,2
FamousACandy,positive,1
FamousACouch,negative,6
FamousAIcecream1961,negative,17
FamousAIcecream1961,positive,1
FamousBBowl94,negative,4
FamousBBowl94,neutral,1
FamousBBread70,negative,3
FamousBCandy,negative,10
FamousBCandy,neutral,1
FamousBCandy,positive,1
FamousBLight2000,negative,17
FamousBLight2000,neutral,1
FamousBLight2000,positive,1
FamousBakerCar17,negative,5
FamousBananaBlanks,negative,13
FamousBananaDilly,negative,6
FamousBananaDilly,neutral,1
FamousBananaJose,negative,11
FamousBananaJose,neutral,2
FamousBananaJose,positive,1
FamousBananaLeo,negative,23
FamousBananaLeo,neutral,1
FamousBananaLucille,negative,4
FamousBenningtonLight56,negative,4
FamousBenningtonLight56,neutral,1
FamousBowlJones,negative,2
FamousBowlJones,neutral,1
FamousBowlPatricia,negative,9
FamousBowlPatricia,neutral,1
FamousBowlSeitz,negative,8
FamousBowlTeresa,negative,8
FamousBowlTeresa,neutral,1
FamousBradleyLight,negative,2
FamousBreadAnna,negative,8
FamousBreadAnna,neutral,2
FamousBreadAnna,positive,1
FamousBreadCallis,negative,3
FamousBreadCallis,neutral,1
FamousBreadDavid,negative,9
FamousBreadDavid,neutral,1
FamousBreadEpps,negative,17
FamousBreadHamann,negative,6
FamousBreadHamann,neutral,2
FamousBreadHamann,positive,1
FamousBreadLeabow,negative,6
FamousBreadLeabow,positive,2
FamousBroadwayLight,negative,10
FamousBroadwayLight,neutral,1
FamousBroadwayLight,positive,1
FamousCBread,negative,1
FamousCBread,positive,1
FamousCCandy,negative,2
FamousCCar,negative,10
FamousCCar,positive,2
FamousCCouch72,negative,7
FamousCCouch72,positive,2
FamousCandyPatricia_Gebhardt,negative,6
FamousCandyPatricia_Gebhardt,neutral,1
FamousCandyRussell,negative,9
FamousCandySandra,negative,2
FamousCarCynthia_Powe,negative,12
FamousCarCynthia_Powe,neutral,1
FamousCarCynthia_Powe,positive,3
FamousCarGilkes,negative,5
FamousCarGilkes,positive,1
FamousCarGlidewell,negative,8
FamousCarSharon_Warren,negative,7
FamousCarSmith,negative,10
FamousCarStephen_Mccall,negative,22
FamousCarStephen_Mccall,neutral,1
FamousCarolynCar,negative,7
FamousCouchMoten,negative,13
FamousCouchShirley,negative,4
FamousCouchShirley,positive,1
FamousCronePlate,negative,14
FamousDBanana,negative,9
FamousDBanana,positive,4
FamousDBanana2006,negative,2
FamousDBanana2006,positive,1
FamousDPlate,negative,13
FamousDPlate,neutral,1
FamousDPlate,positive,1
FamousDaleCouch7,negative,5
FamousDaleCouch7,neutral,1
FamousDavidCar,negative,6
FamousDavidCar,neutral,1
FamousDegaetanoCar58,negative,7
FamousDegaetanoCar58,positive,1
FamousDianeCouch,negative,6
FamousDonaldIcecream,negative,7
FamousDonaldIcecream,neutral,2
FamousDonaldIcecream,positive,1
FamousEdwardCar,negative,7
FamousEllisBowl,negative,4
FamousFHouse,negative,8
FamousFHouse1959,negative,6
FamousFHouse1959,neutral,1
FamousFHouse1959,positive,1
FamousFarquharBowl20,negative,3
FamousFarquharBowl20,neutral,1
